STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,MẮC,,,,CHẾT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,SXHD/SXHD có cảnh báo,,SXHD nặng,,TS,≤15t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Tổng,≤15t,Tổng,≤15t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tân An,9,89,24,12,0,0,0,0,12,9,1,1,0,0,13,5,0,0,0,0,17,8,0,0,0,0,8,6,1,1,0,0,18,12,0,0,0,0,27,16,1,1,0,0,43,23,4,4,0,0,51,23,6,6,0,0,54,36,5,4,0,0,54,31,5,4,1,1,39,22,0,0,0,0,360,203,23,21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tân Hưng,3,94,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,13,8,1,1,0,0,16,10,0,0,0,0,5,4,1,0,0,0,43,27,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vĩnh Hưng,132,81,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,0,12,5,0,0,0,0,6,2,0,0,0,0,6,3,0,0,0,0,38,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mộc Hóa,4,84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tân Thạnh,5,92,5,2,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,4,1,1,0,0,1,1,1,1,0,0,6,4,0,0,0,0,2,1,0,0,0,0,5,3,0,0,0,0,8,6,0,0,0,0,42,25,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thạnh Hóa,6,85,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,1,0,0,0,7,3,2,2,0,0,3,1,1,0,0,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,23,11,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Đức Huệ,7,86,1,1,0,0,0,0,1,1,0,0,0,0,5,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,2,1,0,0,0,7,5,0,0,0,0,7,4,1,1,0,0,5,1,0,0,0,0,3,2,1,1,0,0,41,24,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Đức Hòa,8,82,43,14,1,1,0,0,22,5,1,1,0,0,18,9,1,0,0,0,13,3,0,0,0,0,10,5,0,0,0,0,17,6,1,1,0,0,41,15,3,3,0,0,78,27,5,3,0,0,99,36,8,6,0,0,104,31,8,6,0,0,82,37,1,1,0,0,89,18,3,2,0,0,616,206,32,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bến Lức,9,83,14,7,1,1,0,0,8,4,0,0,0,0,8,6,0,0,0,0,10,5,0,0,0,0,7,4,1,1,0,0,9,4,0,0,0,0,15,9,1,1,0,0,22,12,1,1,0,0,10,8,1,1,0,0,24,13,1,1,0,0,32,18,3,2,0,0,14,6,2,2,0,0,173,96,11,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thủ Thừa,10,93,10,5,0,0,0,0,2,0,0,0,0,0,6,2,0,0,0,0,7,3,0,0,0,0,7,3,1,1,0,0,14,8,0,0,0,0,9,3,2,2,0,0,9,5,2,2,0,0,12,6,0,0,0,0,22,11,1,0,0,0,17,8,0,0,0,0,14,6,0,0,0,0,129,60,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Châu Thành,11,91,19,7,3,2,0,0,6,3,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,6,4,0,0,0,0,12,5,0,0,0,0,5,4,3,3,0,0,18,11,2,2,1,1,10,2,3,3,0,0,26,12,2,1,0,0,31,15,1,1,0,0,21,11,2,2,0,0,158,77,16,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tân Trụ,12,88,5,3,0,0,0,0,1,0,0,0,0,0,7,3,0,0,0,0,6,2,0,0,0,0,6,1,1,0,0,0,12,8,0,0,0,0,18,9,1,0,0,0,24,15,0,0,0,0,5,2,2,1,0,0,19,10,2,1,0,0,6,5,0,0,0,0,12,7,0,0,0,0,121,65,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Cần Đước,13,95,12,8,2,2,0,0,7,7,0,0,0,0,12,7,0,0,0,0,27,23,2,2,0,0,26,23,3,3,0,0,37,30,7,7,0,0,58,42,5,4,0,0,50,36,12,11,0,0,57,38,9,8,0,0,50,38,5,5,0,0,21,15,4,3,0,0,20,15,1,1,0,0,377,282,50,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cần Giuộc,14,90,17,8,2,1,1,0,12,8,2,1,0,0,6,6,0,0,0,0,7,6,0,0,0,0,4,2,0,0,0,0,9,8,1,1,0,0,25,16,4,3,0,0,76,53,15,14,0,0,63,36,20,15,0,0,52,41,15,13,0,0,44,32,17,16,0,0,24,20,7,7,0,0,339,236,83,71,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kiến Tường,,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,15,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tổng cộng,,,155,69,9,7,1,0,75,37,4,3,0,0,81,45,1,0,0,0,101,59,2,2,0,0,76,48,7,6,0,0,132,82,10,9,0,0,215,125,22,18,0,0,337,188,45,40,1,1,334,166,50,40,0,0,398,220,41,33,0,0,324,179,31,27,1,1,258,120,17,15,0,0,2486,1338,239,200,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,1338,239,200,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,MẮC,,,,CHẾT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,SXHD/SXHD có cảnh báo,,SXHD nặng,,TS,≤15t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Tổng,≤15t,Tổng,≤15t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tân An,9,89,43,23,1,0,0,0,16,7,1,1,0,0,5,4,1,0,0,0,27,18,0,0,0,0,8,2,1,1,0,0,5,3,0,0,0,0,7,3,0,0,0,0,13,5,0,0,0,0,12,5,2,1,0,0,7,3,3,3,0,0,24,12,0,0,0,0,18,10,2,1,0,0,185,95,11,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tân Hưng,3,94,6,3,1,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,4,2,1,0,0,0,12,6,0,0,0,0,11,7,1,0,0,0,5,3,0,0,0,0,57,27,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vĩnh Hưng,132,81,8,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,30,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mộc Hóa,4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,10,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tân Thạnh,5,92,5,3,0,0,0,0,5,1,0,0,0,0,5,2,1,1,0,0,5,3,0,0,0,0,8,6,0,0,0,0,6,3,0,0,0,0,4,2,0,0,0,0,6,3,1,0,0,0,4,4,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,55,31,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thạnh Hóa,6,85,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,1,0,0,0,0,5,3,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,11,4,1,1,0,0,2,1,0,0,0,0,3,1,0,0,0,0,35,18,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Đức Huệ,7,86,7,4,0,0,0,0,2,1,0,0,0,0,8,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,6,2,0,0,0,0,9,5,0,0,0,0,7,5,0,0,0,0,11,4,0,0,0,0,61,28,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Đức Hòa,8,82,83,26,2,2,0,0,58,26,2,2,0,0,38,13,1,1,0,0,24,14,1,1,0,0,9,9,0,0,0,0,14,9,0,0,0,0,27,15,2,2,0,0,54,25,2,2,0,0,74,29,3,1,0,0,64,27,2,2,0,0,74,30,1,0,0,0,39,12,1,1,0,0,558,235,17,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bến Lức,9,83,10,7,1,0,0,0,15,7,1,1,0,0,14,8,1,0,0,0,26,21,1,1,0,0,10,7,2,2,0,0,11,11,0,0,0,0,10,8,0,0,0,0,5,5,0,0,0,0,7,5,0,0,0,0,20,10,1,1,0,0,26,10,1,1,0,0,20,9,2,1,0,0,174,108,10,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thủ Thừa,10,93,7,4,0,0,0,0,3,2,0,0,0,0,4,2,0,0,0,0,17,12,0,0,0,0,9,5,0,0,0,0,4,3,0,0,0,0,9,5,0,0,0,0,5,2,0,0,0,0,9,2,0,0,0,0,15,6,0,0,0,0,4,1,0,0,0,0,7,6,0,0,0,0,93,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Châu Thành,11,91,11,5,2,1,0,0,8,3,3,2,0,0,14,10,0,0,0,0,8,6,0,0,0,0,6,4,0,0,0,0,8,6,0,0,0,0,4,4,1,0,0,0,8,4,0,0,0,0,5,2,0,0,0,0,10,6,0,0,0,0,9,4,0,0,0,0,5,1,0,0,0,0,96,55,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tân Trụ,12,88,15,6,2,1,0,0,4,2,1,0,0,0,5,3,0,0,0,0,9,6,1,1,0,0,1,1,1,0,0,0,7,2,0,0,0,0,9,5,0,0,0,0,5,3,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,7,3,1,1,0,0,12,5,1,1,0,0,81,38,7,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Cần Đước,13,95,15,9,5,3,0,0,12,8,1,1,0,0,27,22,3,3,0,0,33,29,2,2,0,0,29,24,4,4,0,0,22,20,0,0,0,0,25,20,3,2,0,0,20,16,2,1,0,0,23,15,0,0,0,0,18,15,0,0,0,0,18,12,0,0,0,0,21,14,4,2,0,0,263,204,24,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cần Giuộc,14,90,16,12,7,7,0,0,16,13,3,1,0,0,14,9,2,2,0,0,20,17,2,2,0,0,14,10,1,1,0,0,10,6,0,0,0,0,8,5,1,0,0,0,10,4,0,0,0,0,23,16,2,2,0,0,12,9,0,0,0,0,6,4,0,0,0,0,9,4,2,1,0,0,158,109,20,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kiến Tường,,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,5,4,1,1,0,0,19,8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tổng cộng,,,232,106,21,14,0,0,145,74,12,8,0,0,135,75,9,7,0,0,178,132,8,7,0,0,106,75,9,8,0,0,97,70,0,0,0,0,114,71,7,4,0,0,139,70,5,3,0,0,179,88,8,4,0,0,191,95,7,7,0,0,196,94,4,2,0,0,163,76,13,8,0,0,1875,1026,103,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,1026,103,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,cases,,,,deaths,,MẮC,,,,CHẾT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,DHF,,Severe DHF,,Total,≤15 yr-old,SXHD/SXHD có cảnh báo,,SXHD nặng,,TS,≤15t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Total,≤15 yr-old,Total,≤15 yr-old,,,Tổng,≤15t,Tổng,≤15t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tân An,9,89,22,12,1,1,0,0,25,11,0,0,0,0,18,9,0,0,0,0,21,10,0,0,0,0,34,17,0,0,0,0,13,9,0,0,0,0,36,22,0,0,0,0,49,30,1,1,0,0,28,15,3,2,0,0,26,13,1,1,0,0,23,11,0,0,0,0,20,9,0,0,0,0,315,168,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tân Hưng,3,94,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3,0,0,0,0,16,16,0,0,0,0,8,6,0,0,0,0,4,2,0,0,0,0,10,5,0,0,0,0,3,2,0,0,0,0,5,4,0,0,0,0,2,1,1,1,0,0,2,1,0,0,0,0,57,42,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vĩnh Hưng,132,81,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mộc Hóa,4,84,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,8,3,0,0,0,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,11,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tân Thạnh,5,92,12,1,0,0,0,0,5,1,0,0,0,0,3,2,0,0,0,0,7,4,1,1,0,0,7,6,0,0,0,0,6,1,1,1,0,0,11,4,0,0,0,0,11,5,1,0,0,0,7,3,0,0,0,0,11,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,92,39,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thạnh Hóa,6,85,2,2,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,6,3,0,0,0,0,2,2,0,0,0,0,6,4,0,0,0,0,7,2,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,38,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Đức Huệ,7,86,4,2,0,0,0,0,5,1,0,0,0,0,2,1,0,0,0,0,4,2,0,0,0,0,3,2,0,0,0,0,9,4,0,0,0,0,6,3,0,0,0,0,5,1,0,0,0,0,5,4,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,49,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
