stt,district,district_code,updated_district_code,province,total_DHF_cases,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
4,Vũng Liêm,47,134,Vinh Long,34,2001,0,3,1,0,0,3,1,2,4,4,12,4
5,Tam Bình,45,131,Vinh Long,43,2001,5,1,0,3,3,1,3,3,5,4,8,7
6,Trà Ôn,46,132,Vinh Long,2,2001,0,0,0,0,0,0,0,0,0,0,1,1
7,Bình Minh,124,127,Vinh Long,24,2001,4,0,3,0,0,0,0,5,3,2,2,5
1,Vĩnh Long,42,133,Vinh Long,56,2002,2,2,4,5,1,4,6,10,4,7,5,6
2,Long Hồ,43,129,Vinh Long,133,2002,3,4,2,4,0,7,4,8,33,30,20,18
3,Mang Thít,44,130,Vinh Long,46,2002,2,4,2,1,1,2,4,2,1,18,6,3
4,Vũng Liêm,47,134,Vinh Long,35,2002,0,3,0,1,0,1,1,1,7,0,13,8
5,Tam Bình,45,131,Vinh Long,46,2002,8,3,0,0,0,0,1,0,2,4,8,20
6,Trà Ôn,46,132,Vinh Long,15,2002,5,0,0,1,1,0,2,0,0,0,1,5
7,Bình Minh,124,127,Vinh Long,78,2002,5,1,1,0,5,0,7,6,10,12,18,13
1,Vĩnh Long,42,133,Vinh Long,97,2003,12,3,13,21,3,1,8,14,5,5,4,8
2,Long Hồ,43,129,Vinh Long,155,2003,28,6,19,26,13,2,8,13,16,8,6,10
3,Mang Thít,44,130,Vinh Long,159,2003,18,6,4,18,26,10,21,20,12,6,10,8
4,Vũng Liêm,47,134,Vinh Long,178,2003,25,11,4,8,5,4,30,19,14,19,28,11
5,Tam Bình,45,131,Vinh Long,165,2003,8,15,9,24,12,16,17,34,5,10,5,10
6,Trà Ôn,46,132,Vinh Long,55,2003,1,1,0,5,5,2,3,5,4,5,16,8
7,Bình Minh,124,127,Vinh Long,242,2003,42,15,18,13,15,14,42,11,10,32,19,11
1,Vĩnh Long,42,133,Vinh Long,48,2004,11,5,1,2,8,1,2,2,9,2,1,4
2,Long Hồ,43,129,Vinh Long,100,2004,5,5,4,9,2,7,19,11,9,9,12,8
3,Mang Thít,44,130,Vinh Long,137,2004,13,5,4,8,13,5,7,28,17,6,17,14
4,Vũng Liêm,47,134,Vinh Long,129,2004,7,2,7,6,2,8,23,25,16,7,10,16
5,Tam Bình,45,131,Vinh Long,52,2004,8,5,3,2,5,3,3,5,6,5,3,4
6,Trà Ôn,46,132,Vinh Long,154,2004,7,4,10,10,15,19,20,30,26,7,5,1
7,Bình Minh,124,127,Vinh Long,197,2004,6,13,3,3,19,23,16,17,30,16,28,23
1,Vĩnh Long,42,133,Vinh Long,34,2005,0,0,0,1,1,2,7,5,5,4,5,4
2,Long Hồ,43,129,Vinh Long,71,2005,10,2,6,1,3,4,3,8,10,8,8,8
3,Mang Thít,44,130,Vinh Long,76,2005,11,8,8,4,2,2,1,6,12,10,9,3
4,Vũng Liêm,47,134,Vinh Long,91,2005,5,3,1,2,2,1,11,20,10,6,12,18
5,Tam Bình,45,131,Vinh Long,98,2005,4,3,0,4,2,1,21,13,16,13,14,7
6,Trà Ôn,46,132,Vinh Long,83,2005,4,5,6,4,2,2,5,8,12,15,13,7
7,Bình Minh,124,127,Vinh Long,317,2005,16,11,12,12,5,17,43,48,40,61,43,9
1,Vĩnh Long,42,133,Vinh Long,67,2006,7,6,5,3,4,9,8,12,10,3,,
2,Long Hồ,43,129,Vinh Long,50,2006,5,5,6,7,3,3,4,7,3,7,,
3,Mang Thít,44,130,Vinh Long,52,2006,6,1,2,2,2,6,12,11,8,2,,
4,Bình Minh,124,127,Vinh Long,143,2006,14,16,10,10,15,11,18,11,20,18,,
5,Tam Bình,45,131,Vinh Long,37,2006,6,2,11,0,5,2,7,2,1,1,,
6,Trà Ôn,46,132,Vinh Long,122,2006,5,4,9,8,10,19,10,29,18,10,,
7,Vũng Liêm,47,134,Vinh Long,114,2006,8,8,6,10,7,8,24,12,18,13,,
1,Vĩnh Long,42,133,Vinh Long,83,2007,6,1,5,8,5,12,15,13,9,9,,
2,Long Hồ,43,129,Vinh Long,118,2007,3,3,2,3,14,11,23,23,21,15,,
3,Mang Thít,44,130,Vinh Long,212,2007,1,1,1,1,7,8,31,55,55,52,,
4,Bình Minh,124,127,Vinh Long,412,2007,15,10,19,32,49,82,94,66,30,15,,
5,Tam Bình,45,131,Vinh Long,97,2007,2,2,2,0,4,7,22,19,23,16,,
6,Trà Ôn,46,132,Vinh Long,123,2007,3,5,3,3,7,23,32,32,11,4,,
7,Vũng Liêm,47,134,Vinh Long,872,2007,3,4,19,48,74,177,234,208,69,36,,
1,Vĩnh Long,42,133,Vinh Long,37,2008,2,0,2,2,4,2,3,8,6,8,,
2,Long Hồ,43,129,Vinh Long,60,2008,4,1,0,7,6,3,11,11,8,9,,
3,Mang Thít,44,130,Vinh Long,172,2008,7,8,4,9,12,14,18,37,18,45,,
4,Bình Minh,124,127,Vinh Long,180,2008,1,0,4,7,10,22,53,34,18,31,,
5,Bình Tân,125,128,Vinh Long,134,2008,0,0,1,9,2,21,24,33,19,25,,
6,Tam Bình,45,131,Vinh Long,68,2008,6,4,3,2,1,5,6,12,13,16,,
7,Trà Ôn,46,132,Vinh Long,30,2008,0,2,3,2,1,1,6,4,5,6,,
8,Vũng Liêm,47,134,Vinh Long,101,2008,5,2,2,5,4,7,22,26,20,8,,
1,Vĩnh Long,42,133,Vinh Long,178,2009,8,9,6,6,50,61,14,9,9,6,,
2,Long Hồ,43,129,Vinh Long,172,2009,5,5,5,5,40,61,15,14,13,9,,
3,Mang Thít,44,130,Vinh Long,194,2009,22,18,25,22,19,60,20,5,2,1,,
4,Bình Minh,124,127,Vinh Long,175,2009,7,2,7,3,28,74,23,14,9,8,,
5,Bình Tân,125,128,Vinh Long,110,2009,5,4,3,8,26,31,17,7,6,3,,
6,Tam Bình,45,131,Vinh Long,161,2009,8,7,17,3,23,45,20,19,13,6,,
7,Trà Ôn,46,132,Vinh Long,111,2009,0,2,11,1,9,19,8,33,18,10,,
8,Vũng Liêm,47,134,Vinh Long,102,2009,0,2,2,5,8,25,21,10,9,20,,
1,Vĩnh Long,42,133,Vinh Long,15,2010,5,1,0,0,0,5,4,0,0,0,,
2,Long Hồ,43,129,Vinh Long,34,2010,13,1,0,0,0,14,6,0,0,0,,
3,Mang Thít,44,130,Vinh Long,7,2010,2,1,0,0,0,3,1,0,0,0,,
4,Bình Minh,124,127,Vinh Long,23,2010,1,0,0,0,0,14,8,0,0,0,,
5,Bình Tân,125,128,Vinh Long,6,2010,0,0,0,0,0,2,4,0,0,0,,
6,Tam Bình,45,131,Vinh Long,13,2010,2,2,0,0,0,2,6,0,1,0,,
7,Trà Ôn,46,132,Vinh Long,33,2010,4,0,0,0,4,19,6,0,0,0,,
8,Vũng Liêm,47,134,Vinh Long,57,2010,0,0,0,0,0,53,4,0,0,0,,
1,Vĩnh Long,42,133,Vinh Long,18,2011,6,0,0,0,2,0,3,0,0,7,,
2,Long Hồ,43,129,Vinh Long,39,2011,12,3,0,0,2,0,1,0,1,20,,
3,Mang Thít,44,130,Vinh Long,16,2011,6,0,0,0,1,0,4,0,0,5,,
4,Bình Minh,124,127,Vinh Long,13,2011,2,2,0,0,0,0,5,0,0,4,,
5,Bình Tân,125,128,Vinh Long,6,2011,2,0,0,0,0,0,1,0,0,3,,
6,Tam Bình,45,131,Vinh Long,12,2011,6,1,0,0,0,0,4,0,0,1,,
7,Trà Ôn,46,132,Vinh Long,18,2011,4,1,0,0,0,0,10,0,0,3,,
8,Vũng Liêm,47,134,Vinh Long,26,2011,8,2,0,0,0,0,4,0,0,12,,
1,Vĩnh Long,42,133,Vinh Long,237,2012,12,8,16,7,20,22,22,33,19,23,18,37
2,Long Hồ,43,129,Vinh Long,210,2012,15,9,16,11,19,27,23,29,16,17,19,9
3,Mang Thít,44,130,Vinh Long,173,2012,6,8,8,13,15,27,22,33,8,13,11,9
4,Bình Minh,124,127,Vinh Long,108,2012,6,15,12,5,7,5,12,22,10,4,7,3
5,Bình Tân,125,128,Vinh Long,90,2012,6,13,10,7,6,8,16,12,7,1,3,1
6,Tam Bình,45,131,Vinh Long,128,2012,5,4,2,3,3,7,28,30,6,22,17,1
7,Trà Ôn,46,132,Vinh Long,145,2012,13,9,7,7,5,14,26,11,25,12,10,6
8,Vũng Liêm,47,134,Vinh Long,260,2012,9,8,11,10,21,32,47,24,24,20,33,21
1,Vĩnh Long,42,133,Vinh Long,131,2013,24,6,11,15,5,5,14,15,9,10,10,7
2,Long Hồ,43,129,Vinh Long,133,2013,9,8,9,16,9,10,15,11,12,14,7,13
3,Mang Thít,44,130,Vinh Long,76,2013,4,8,5,8,5,3,7,6,9,7,9,5
4,Bình Minh,124,127,Vinh Long,23,2013,3,6,4,3,0,0,2,2,1,0,1,1
5,Bình Tân,125,128,Vinh Long,24,2013,3,2,3,4,1,6,2,1,1,0,1,0
6,Tam Bình,45,131,Vinh Long,58,2013,7,5,15,2,4,8,6,3,2,1,3,2
7,Trà Ôn,46,132,Vinh Long,48,2013,9,4,5,8,3,6,4,3,1,1,1,3
8,Vũng Liêm,47,134,Vinh Long,127,2013,17,9,19,17,3,8,16,12,14,8,2,2
1,Vĩnh Long,42,133,Vinh Long,94,2014,8,8,12,6,6,2,5,5,11,14,9,8
2,Long Hồ,43,129,Vinh Long,104,2014,7,5,7,5,12,4,6,8,12,12,15,11
3,Mang Thít,44,130,Vinh Long,47,2014,1,3,8,0,3,2,3,3,0,8,5,11
4,Bình Minh,124,127,Vinh Long,9,2014,0,0,0,1,1,0,0,0,2,0,5,0
5,Bình Tân,125,128,Vinh Long,3,2014,0,0,0,0,0,0,0,0,0,0,1,2
6,Tam Bình,45,131,Vinh Long,35,2014,2,7,3,1,0,3,0,1,3,7,5,3
7,Trà Ôn,46,132,Vinh Long,16,2014,0,0,2,0,1,1,1,0,1,2,3,5
8,Vũng Liêm,47,134,Vinh Long,75,2014,8,7,4,3,4,4,7,4,2,8,17,7
1,Vĩnh Long,42,133,Vinh Long,91,2015,7,5,3,5,5,2,7,10,13,16,7,11
2,Long Hồ,43,129,Vinh Long,78,2015,6,2,3,3,5,6,2,4,5,9,16,17
3,Mang Thít,44,130,Vinh Long,55,2015,5,3,1,3,2,1,5,1,2,4,11,17
4,Bình Minh,124,127,Vinh Long,16,2015,2,0,1,0,0,4,1,1,0,1,5,1
5,Bình Tân,125,128,Vinh Long,78,2015,1,0,0,0,0,1,0,4,8,19,24,21
6,Tam Bình,45,131,Vinh Long,59,2015,3,2,0,1,3,1,5,4,7,8,14,11
7,Trà Ôn,46,132,Vinh Long,35,2015,1,0,1,0,4,0,1,3,7,6,6,6
8,Vũng Liêm,47,134,Vinh Long,87,2015,5,1,3,9,8,4,10,6,13,10,9,9
1,Vĩnh Long,42,133,Vinh Long,162,2016,17,11,13,8,4,7,15,33,18,14,8,14
2,Long Hồ,43,129,Vinh Long,205,2016,12,10,15,8,13,16,14,21,30,26,16,24
3,Mang Thít,44,130,Vinh Long,103,2016,11,6,5,19,3,5,3,3,14,10,9,15
4,Bình Minh,124,127,Vinh Long,52,2016,2,6,6,4,1,0,0,5,7,2,14,5
5,Bình Tân,125,128,Vinh Long,88,2016,19,7,12,10,2,0,6,12,7,8,3,2
6,Tam Bình,45,131,Vinh Long,108,2016,7,1,10,8,3,1,1,12,9,20,28,8
7,Trà Ôn,46,132,Vinh Long,76,2016,7,1,5,4,0,3,0,15,11,9,13,8
8,Vũng Liêm,47,134,Vinh Long,78,2016,8,7,3,8,6,8,7,6,6,4,5,10
1,Vĩnh Long,42,133,Vinh Long,217,2017,16,10,9,10,15,32,28,34,17,28,12,6
2,Long Hồ,43,129,Vinh Long,336,2017,25,27,28,29,17,37,61,43,31,18,17,3
3,Mang Thít,44,130,Vinh Long,208,2017,28,14,16,12,14,24,27,18,15,14,12,14
4,Bình Minh,124,127,Vinh Long,92,2017,6,19,14,5,2,7,14,8,7,6,2,2
5,Bình Tân,125,128,Vinh Long,222,2017,3,9,19,9,25,21,45,47,23,12,3,6
6,Tam Bình,45,131,Vinh Long,200,2017,12,11,24,18,10,16,28,24,20,17,13,7
7,Trà Ôn,46,132,Vinh Long,141,2017,5,5,10,8,11,23,18,27,15,7,6,6
8,Vũng Liêm,47,134,Vinh Long,120,2017,6,6,13,12,6,14,12,17,9,9,9,7
1,Vĩnh Long,42,133,Vinh Long,173,2018,9,3,7,4,5,18,12,15,23,34,21,22
2,Long Hồ,43,129,Vinh Long,258,2018,10,4,6,5,26,10,19,12,52,49,36,29
3,Mang Thít,44,130,Vinh Long,123,2018,9,1,2,6,0,16,8,14,11,29,10,17
4,Bình Minh,124,127,Vinh Long,130,2018,2,9,3,4,11,20,15,27,16,13,4,6
5,Bình Tân,125,128,Vinh Long,163,2018,6,4,7,4,7,15,14,12,34,36,19,5
6,Tam Bình,45,131,Vinh Long,160,2018,5,3,3,3,5,11,13,20,15,39,26,17
7,Trà Ôn,46,132,Vinh Long,97,2018,7,5,1,1,5,9,5,2,10,19,16,17
8,Vũng Liêm,47,134,Vinh Long,145,2018,3,2,7,8,4,11,16,10,19,30,18,17
