VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
ben tre,123.744,2003,123744,Bến Tre,City
ba tri,294.353,2003,294353,Bến Tre,District
binh dai,166.608,2003,166608,Bến Tre,District
cho lach,59.478,2003,59478,Bến Tre,District
chau thanh,46.901,2003,46901,Bến Tre,District
giong trom,165.757,2003,165757,Bến Tre,District
mo cay bac,61.888,2003,61888,Bến Tre,District
mo cay nam,166.58,2003,166580,Bến Tre,District
thanh phu,265.184,2003,265184,Bến Tre,District
binh thuy,113.351,2003,113351,Cần Thơ,Urban District
co do,147.092,2003,147092,Cần Thơ,District
cai rang,50.885,2003,50885,Cần Thơ,Urban District
ninh kieu,176.344,2003,176344,Cần Thơ,Urban District
o mon,121.115,2003,121115,Cần Thơ,Urban District
phong dien,94.942,2003,94942,Cần Thơ,District
thot not,64.522,2003,64522,Cần Thơ,Urban District
thoi lai,112.696,2003,112696,Cần Thơ,District
vinh thanh,142.026,2003,142026,Cần Thơ,District
ca mau,192.673,2003,192673,Cà Mau,City
cai nuoc,127.15,2003,127150,Cà Mau,District
dam doi,200.244,2003,200244,Cà Mau,District
nam can,50.132,2003,50132,Cà Mau,District
ngoc hien,57.518,2003,57518,Cà Mau,District
phu tan,142.832,2003,142832,Cà Mau,District
thoi binh,196.35,2003,196350,Cà Mau,District
tran van thoi,112.741,2003,112741,Cà Mau,District
u minh,78.157,2003,78157,Cà Mau,District
cao lanh,178.203,2003,178203,Đồng Tháp,District
cao lanh,174.675,2003,174675,Đồng Tháp,City
chau thanh,177.549,2003,177549,Đồng Tháp,District
hong ngu,124.375,2003,124375,Đồng Tháp,District
hong ngu,43.468,2003,43468,Đồng Tháp,City
lap vo,161.078,2003,161078,Đồng Tháp,District
lai vung,108.222,2003,108222,Đồng Tháp,District
sa dec,72.785,2003,72785,Đồng Tháp,City
tam nong,113.279,2003,113279,Đồng Tháp,District
tan hong,80.479,2003,80479,Đồng Tháp,District
thanh binh,127.912,2003,127912,Đồng Tháp,District
thap muoi,242.594,2003,242594,Đồng Tháp,District
chau thanh,42.096,2003,42096,Hậu Giang,District
chau thanh a,91.715,2003,91715,Hậu Giang,District
long my,118.697,2003,118697,Hậu Giang,District
long my,84.121,2003,84121,Hậu Giang,Town
nga bay,81.641,2003,81641,Hậu Giang,City
phung hiep,266.45,2003,266450,Hậu Giang,District
vi thanh,120.305,2003,120305,Hậu Giang,City
vi thuy,128.364,2003,128364,Hậu Giang,District
an bien,48.565,2003,48565,Kiên Giang,District
an minh,78.809,2003,78809,Kiên Giang,District
chau thanh,162.342,2003,162342,Kiên Giang,District
giong rieng,121.614,2003,121614,Kiên Giang,District
giang thanh,65.166,2003,65166,Kiên Giang,District
go quao,97.573,2003,97573,Kiên Giang,District
ha tien,63.345,2003,63345,Kiên Giang,City
hon dat,260.347,2003,260347,Kiên Giang,District
kien hai,0.043,2003,43,Kiên Giang,District
kien luong,92.16,2003,92160,Kiên Giang,District
phu quoc,17.115,2003,17115,Kiên Giang,City
rach gia,248.142,2003,248142,Kiên Giang,City
tan hiep,156.709,2003,156709,Kiên Giang,District
u minh thuong,53.554,2003,53554,Kiên Giang,District
vinh thuan,104.095,2003,104095,Kiên Giang,District
ben luc,91.132,2003,91132,Long An,District
can duoc,106.112,2003,106112,Long An,District
